TimeOut!!;MD2;ASWSNA20106 ;10.150.8.102;XS046480;2022/11/29;10:51:42:484
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.70;XX001830;2022/11/29;11:14:18:095
Grant!!;HD2;ASWSNA20162 ;10.150.8.80;XX001830;2022/11/29;12:21:41:838
Grant!!;HD2;ASWSNA20106 ;10.150.8.74;XS046480;2022/11/29;14:36:47:891
Grant!!;MD2;ASWSNA20106 ;10.150.8.74;XS046480;2022/11/29;14:36:48:219
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.80;XX001830;2022/11/29;15:09:13:913
Grant!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/11/29;15:11:24:621
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/11/29;16:02:22:110
TimeOut!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.133;XS185631;2022/11/29;17:33:06:469
TimeOut!!;HD2;ASWSNA20106 ;10.150.8.138;XS046480;2022/11/29;17:57:38:447
TimeOut!!;MD2;ASWSNA20106 ;10.150.8.138;XS046480;2022/11/29;17:57:38:447
Grant!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.144;XS185631;2022/11/30;06:58:16:808
Grant!!;HD2;ASWSNA20162 ;10.150.8.110;XX001830;2022/11/30;07:41:25:347
Grant!!;HD2;ASWSNA20106 ;10.150.8.130;XS046480;2022/11/30;08:47:07:490
Grant!!;MD2;ASWSNA20106 ;10.150.8.130;XS046480;2022/11/30;08:47:07:960
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.110;XX001830;2022/11/30;10:45:36:596
Detachment!!;HD2;ASWSNA20106 ;10.150.8.130;XS046480;2022/11/30;11:12:46:424
Detachment!!;MD2;ASWSNA20106 ;10.150.8.130;XS046480;2022/11/30;11:12:46:705
Grant!!;MD2;ASWSNA20146 ;10.150.8.73;XS130002;2022/11/30;11:17:20:166
Grant!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;11:55:38:968
Detachment!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;13:07:12:853
Grant!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;13:08:22:027
Detachment!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;13:21:38:531
Grant!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;13:21:48:408
