Grant!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/10;14:44:33:461
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/10;15:04:25:456
Detachment!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/10;15:47:54:017
Detachment!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/10;15:52:33:672
Detachment!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/10;15:58:17:338
Detachment!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/10;15:58:19:811
Grant!!;AM2;ASWMON00121 ;10.230.118.87;XX000986;2022/10/10;15:58:21:442
Detachment!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/10;16:12:11:119
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/10;18:50:54:396
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/10;20:06:34:935
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/10;21:38:10:063
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/10;21:40:10:669
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;04:55:50:749
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;05:01:22:465
Grant!!;MD2;ASWMON00123 ;10.230.117.81;XS034900;2022/10/11;06:36:40:611
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;07:27:38:746
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;07:30:16:525
Grant!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/11;08:26:05:805
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/11;08:33:09:113
Detachment!!;AM2;ASWMON00017 ;10.230.117.215;XS052455;2022/10/11;08:41:55:717
TimeOut!!;MD1;MONWS024 ;192.168.130.233;dearm;2022/10/11;08:43:44:811
Detachment!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;08:50:14:366
Detachment!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/11;08:51:39:996
TimeOut!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;08:52:55:017
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;09:31:17:882
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;09:32:03:162
Grant!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;10:01:08:572
Grant!!;MD1;ASWMON00104 ;10.230.117.96;XS039267;2022/10/11;10:26:11:934
Grant!!;MD2;ASWMON20028 ;10.230.117.190;XS105877;2022/10/11;10:28:56:566
Detachment!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;10:36:01:332
TimeOut!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/11;10:40:25:995
Grant!!;AM2;ASWMON00085 ;10.230.117.158;XS085436;2022/10/11;10:40:36:215
Grant!!;MD1;MONWS022 ;192.168.130.235;dearm;2022/10/11;11:27:06:814
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;11:34:12:295
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;11:47:46:576
TimeOut!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/11;11:51:07:004
Grant!!;AM2;ASWMON00124 ;10.230.117.73;XS034943;2022/10/11;12:17:32:017
Grant!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;12:33:49:363
TimeOut!!;MD1;MONWS023 ;192.168.130.234;dearm;2022/10/11;12:42:34:427
Grant!!;AM2;ASWMON00122 ;10.230.117.76;XS135304;2022/10/11;12:52:44:853
Grant!!;MD1;ASWMON00018 ;192.168.130.246;xs052455;2022/10/11;12:57:20:582
Grant!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:19:20:887
Detachment!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:20:45:414
Grant!!;MD2;ASWMON00106 ;10.230.117.35;XS178411;2022/10/11;13:24:31:751
