VPM;CFG;16;ENOVIA V6;KKZ-42661C6F695667C0;VPM_V6_KKZ-42661C6F695667C0_ENOVIA V6;
VSC;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;VSC_V6_KKZ-42661C6F695667C0_ENOVIA V6;
VT2;CFG;6;DELMIA V5;KKZ-42661C6F695667C0;VT2_V6_KKZ-42661C6F695667C0_DELMIA V5;
WFL;SHA;5;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;WFL_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
WL2;CFG;3;DELMIA V5;KKZ-42661C6F695667C0;WL2_V6_KKZ-42661C6F695667C0_DELMIA V5;
XFE;CFG;2;ENOVIA V6;KKZ-42661C6F695667C0;XFE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
XSE;CFG;12;ENOVIA V6;KKZ-42661C6F695667C0;XSE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
ZOE;CFG;3;CATIA V5;KKZ-42661C6F695667C0;ZOE_V6_KKZ-42661C6F695667C0_CATIA V5;
ZOH;CFG;3;CATIA V5;KKZ-42661C6F695667C0;ZOH_V6_KKZ-42661C6F695667C0_CATIA V5;
ZOL;CFG;5;CATIA V5;KKZ-42661C6F695667C0;ZOL_V6_KKZ-42661C6F695667C0_CATIA V5;
ZOM;CFG;4;CATIA V5;KKZ-42661C6F695667C0;ZOM_V6_KKZ-42661C6F695667C0_CATIA V5;
ZSK;CFG;1;CATIA V5;KKZ-42661C6F695667C0;ZSK_V6_KKZ-42661C6F695667C0_CATIA V5;
